,,input tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,name,tf_idf_tags_033,hierarchical_cluster_tags,mcg_tags_033£¨orderd by L(Tm)£©,Top 11 correct tags,Sum of (top 11 correct tags),Sum of tags(top 11 tags),Top 10 correct tags,Sum of (top 10 correct tags),Sum of tags(top 10 tags),Top 9 correct tags,Sum of (top 9 correct tags) ,Sum of tags(top 9 tags),Top 8 correct tags,Sum of (top 8 correct tags),Sum of tags(top 8 tags),Top 7 correct tags,Sum of (top 7 correct tags),Sum of tags(top 7 tags),Top 6 correct tags,Sum of (top 6 correct tags),Sum of tags(top 6 tags),Top 5 correct tags,Sum of (top 5 correct tags),Sum of tags(top 5 tags),Top 4 correct tags,Sum of (top 4 correct tags),Sum of tags(top 4 tags),Top 3 correct tags,Sum of (top 3 correct tags),Sum of tags(top 3 tags),
1,thrift,",services,client,framework,thrift,generating,idl",",client,cli","commercial system,subject,financial institution,value,stakeholder,traditional network management tool,component,basic control plane function,open source software component,sector","commercial system,value,traditional network management tool,component,open source software component",5,10,"commercial system,value,traditional network management tool,component,open source software component",5,10,"commercial system,value,traditional network management tool,component,open source software component",5,9,"commercial system,value,traditional network management tool,component",4,8,"commercial system,value,traditional network management tool,component,open source software component",4,7,"commercial system,value,traditional network management tool,",4,6,"commercial system,value,",2,5,"commercial system,value,",2,4,commercial system,1,3,
2,geonetwork,",geonetwork,foss,catalog,spatially,referenced,resources",",open,source","datum service,factor,definition,letter word error,material,standard text,membrane barrier,document,popular nonlinear pro gramming benchmark problem,age","datum service,factor,definition,standard text,document",5,10,"datum service,factor,definition,standard text,document",5,10,"datum service,factor,definition,standard text,document",5,9,"datum service,factor,definition,standard text,document",5,8,"datum service,factor,definition,standard text",4,7,"datum service,factor,definition,standard text,",4,6,"datum service,factor,definition",3,5,"datum service,factor,definition",3,4,"datum service,factor,definition",3,3,
3,hipache,",proxy,distributed,volumes,traffic,hipache,http/websocket,numbers,hosts",\N,"factor,intermediary,parameter,object,ftp login information,ton,setting,network element,property","factor,intermediary,parameter,object,ftp login information,ton,setting,network element,property",9,9,"factor,intermediary,parameter,object,ftp login information,ton,setting,network element,property",9,9,"factor,intermediary,parameter,object,ftp login information,ton,setting,network element,property",9,9,"factor,intermediary,issue,parameter,factor,object,ftp login information,ton",8,8,"factor,intermediary,issue,parameter,factor,object,ftp login information",7,7,"factor,intermediary,issue,parameter,factor,object",6,6,"factor,intermediary,issue,parameter,factor",5,5,"factor,intermediary,issue,parameter",4,4,"factor,intermediary,issue",3,3,
4,Site24x7 Docker Agent,",infrastructure,monitoring,solution,devops,allinone,helps,break,complexity,customers,businesses",",customer,custom","factor,stakeholder,oral fluid,single word,trend,idea,field","factor,trend,idea,field",4,7,"factor,trend,idea,field",4,7,"factor,trend,idea,field",4,7,"factor,trend,idea,field",4,7,"factor,trend,idea,field",4,7,"factor,trend,idea",3,6,"factor,trend",2,5,factor,1,4,factor,1,3,
5,Azure Stream Analytics Simulated Sensor,",module,sample,periodically,simulated,temperature,readings",",module,reading","activity,parameter,factor,strategy,multi level signaling technique,hobby,skill,component","activity,parameter,factor,strategy,multi level signaling technique,skill,component",7,8,"activity,parameter,factor,strategy,multi level signaling technique,skill,component",7,8,"activity,parameter,factor,strategy,multi level signaling technique,skill,component",7,8,"activity,parameter,factor,strategy,multi level signaling technique,skill,component",7,8,"activity,parameter,factor,strategy,multi level signaling technique,skill",6,7,"activity,parameter,factor,strategy,multi level signaling technique",5,6,"activity,parameter,factor,strategy,multi level signaling technique",5,5,"activity,parameter,factor,strategy",4,4,"activity,parameter,factor,strategy",3,3,
6,nats,",opensource,cloud,native,messaging,highperformance,nats",",open,source","technology,service,feature,homeopathic ingredient,application,advanced topic,middleboxes,on path network element,ome vendor,package,instance,software","technology,service,feature,application,advanced topic,middleboxes,on path network element,package,instance",9,11,"technology,service,feature,application,advanced topic,middleboxes,on path network element,package,",8,10,"technology,service,feature,application,advanced topic,middleboxes,on path network element,",8,9,"technology,service,feature,application,advanced topic,middleboxes,on path network element,",7,8,"technology,service,feature,application,advanced topic,middleboxes,",6,7,"technology,service,feature,application,advanced topic,",5,6,"technology,service,feature,application",4,5,"technology,service,feature,",3,4,"technology,service,feature,",3,3,
7,Azure Pipelines Agent,",azure,containerized,agent,pipelines",",line,ip",",protocol,structure,person,intermediary,service,cloud provider,third party,cloud platform,facility,cloud service,infrastructure,infrastructure project","protocol,structure,intermediary,service,cloud provider,third party,cloud platform,facility,cloud service, infrastructure",10,11,"protocol,structure,intermediary,service,cloud provider,third party,cloud platform,facility,cloud service",9,10,"protocol,structure,intermediary,service,cloud provider,third party,cloud platform,facility",8,9,"protocol,structure,intermediary,service,cloud provider,third party,cloud platform",7,8,"protocol,structure,intermediary,service,cloud provider,third party",6,7,"protocol,structure,intermediary,service,cloud provider",5,6,"protocol,structure,intermediary,service",4,5,"protocol,structure,intermediary",3,4,"protocol,structure",2,3,
8,Solace PubSub+ Standard,",apis,supports,open,message,broker,unified,solace,pubsub,protocols",",open,source","thread form,intermediary,record owner,user datum,bee,datum,reality,homeopathic spagyric herb,cache parameter","thread form,intermediary,record owner,user datum,datum,cache parameter",6,9,"thread form,intermediary,record owner,user datum,datum,cache parameter",6,9,"thread form,intermediary,record owner,user datum,datum",5,9,"thread form,intermediary,record owner,user datum,datum,cache parameter",5,8,"thread form,intermediary,record owner,user datum,datum",5,7,"thread form,intermediary,record owner,user datum",4,6,"thread form,intermediary,record owner,user datum",4,5,"thread form,intermediary,record owner,user datum",4,4,"thread form,intermediary,record owner",3,3,
