name,tf_idf_tags_033,033_correct tags,033_sum(tags),tf_idf_tags_050,060_correct tags,060_sum(tags),tf_idf_tags_060,060_correct tags,060_sum(tags),tf_idf_tags_080,080_correct tags,080_sum(tags),hierarchical_cluster_tags,hier_correct_tags,hier_sum_tags,,,,
Oryx node-8.1,"nodejs,host,built,web,artifacts,entry,point,81",5,8,",nodejs,host,built,artifacts,entry,point,81",5,7,",81",1,1,",81",1,1,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",8,10,,,,
Azure Functions Node,",azure,functions,node",1,3,",azure,functions,node",1,3,",azure,functions,node",1,3,",azure,functions,node",3,3,",mage,ci",2,2,,,,
Db2 Developer-C Edition,"free,version,developers,environments,feature,nonproduction,ideal",5,7,",free,version,developers,environments,feature,nonproduction,ideal",5,7,",free,version,developers,environments,feature,nonproduction,ideal",5,7,",version,developers,environments,feature,nonproduction,ideal",,,"dev,developer,free,product,version,environment,feature,non-production,production",7,9,,,,
ruby,",opensource,programming,language,ruby,dynamic,reflective,objectoriented,generalpurpose",,,",opensource,programming,language,ruby,dynamic,reflective,objectoriented,generalpurpose",,,",programming,ruby,dynamic,reflective,objectoriented,generalpurpose",,,",ruby,reflective,objectoriented,generalpurpose",,,",programming,language",,,,,,
Sitescope,",application,monitoring,agentless,performance",,,",application,monitoring,agentless,performance",,,",application,monitoring,agentless,performance",,,",application,monitoring,agentless,performance",,,\N,,,,,,
Azure Functions Base,",base,azure,functions",,,",base,azure,functions",,,",base,azure,functions",,,",base,azure,functions",,,",mage,ci",,,,,,
piwik,",opensource,powerful,analytics,platform,leading,piwik",,,",opensource,powerful,analytics,platform,leading,piwik",,,",opensource,powerful,analytics,platform,leading,piwik",,,",powerful,analytics,leading,piwik",,,",open,source",,,,,,
Gestalt Platform,",kubernetes,enterprise,engine,support,gestalt,grade,functionasaservice,federation,policy,ce/ee",,,",kubernetes,engine,support,gestalt,grade,functionasaservice,federation,policy,ce/ee",,,",engine,support,gestalt,grade,functionasaservice,federation,policy,ce/ee",,,",gestalt,grade,functionasaservice,federation,policy,ce/ee",,,",ai",,,,,,
Solace PubSub+ Standard,",apis,supports,open,message,broker,unified,solace,pubsub,protocols",,,",apis,supports,message,broker,unified,solace,pubsub,protocols",,,",apis,supports,message,broker,unified,solace,pubsub,protocols",,,",supports,message,broker,unified,solace,pubsub,protocols",,,",open,source",,,,,,
elixir,",language,scalable,applications,dynamic,elixir,functional,building,maintainable",,,",language,scalable,applications,dynamic,elixir,functional,building,maintainable",,,",scalable,dynamic,elixir,functional,building,maintainable",,,",elixir,functional,building,maintainable",,,",build,ui",,,,,,
nats-streaming,",opensource,cloud,native,messaging,highperformance,streaming,nats",,,",opensource,cloud,native,messaging,highperformance,streaming,nats",,,",opensource,cloud,native,messaging,highperformance,streaming,nats",,,",native,messaging,highperformance,streaming,nats",,,",open,source",,,,,,
haskell,",programming,language,advanced,haskell,purelyfunctional",,,",programming,language,advanced,haskell,purelyfunctional",,,",programming,language,advanced,haskell,purelyfunctional",,,",programming,language,advanced,haskell,purelyfunctional",,,",programming,language",,,,,,
Oryx python-3.7,",host,built,web,artifacts,entry,point,python37",,,",host,built,web,artifacts,entry,point,python37",,,",artifacts,entry,point,python37",,,",python37",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Azure Industrial IoT OPC Publisher module,",edge,azure,iot,module,industrial,contains,opc",,,",edge,iot,module,industrial,contains,opc",,,",edge,iot,module,industrial,contains,opc",,,",iot",,,\N,,,,,,
Nano Server,",server,base,containers,nano",,,",server,base,containers,nano",,,",server,base,containers,nano",,,",server,base,containers,nano",,,",mage,ci",,,,,,
Azure IoT Edge Testing Utility,",edge,azure,iot,module,developers,test,debug,troubleshoot,modules",,,",edge,azure,iot,module,developers,test,debug,troubleshoot,modules",,,",edge,azure,iot,module,developers,test,debug,troubleshoot,modules",,,",edge,iot,test,debug,troubleshoot,modules",,,",developers,dev,developer,free,product,version,environment,feature,non-production,environments.,developers.,production,environments",,,,,,
Software AG API Gateway,",api,gateway",,,",api,gateway",,,",api,gateway",,,",api,gateway",,,",mage,ci",,,,,,
Azureml Base Gpu,",base,learning,azure,machine,gpu",,,",base,learning,azure,machine,gpu",,,",base,learning,machine,gpu",,,",base,learning,machine,gpu",,,\N,,,,,,
rapidoid,",server,web,framework,application,http,highperformance,modern,java,rapidoid,/",,,",framework,http,highperformance,modern,java,rapidoid,/",,,",http,highperformance,modern,rapidoid,/",,,",rapidoid",,,",application,app",,,,,,
Microsoft Cognitive Toolkit (CNTK),",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",free,easytouse,opensource,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,learning,toolkit,microsoft",,,",easytouse,commercialgrade,deep,toolkit",,,",open,source",,,,,,
TraefikEE,",traefik,edge,scalable,enterprise,edition,platform,reliable,routing",,,",traefik,edge,scalable,enterprise,edition,reliable,routing",,,",traefik,edge,scalable,enterprise,edition,reliable,routing",,,",traefik,reliable,routing",,,",scalable,reliable,able",,,,,,
Portworx PX-Developer,",containers,data,services",,,",containers,data,services",,,",containers,data,services",,,",containers,data,services",,,",ai",,,,,,
r-base,",computation,statistical,graphics",,,",computation,statistical,graphics",,,",computation,statistical,graphics",,,",computation,statistical,graphics",,,\N,,,,,,
ibmjava,",edition,sdk,ibmâ®,javaâ„�?technology",,,",edition,sdk,ibmâ®,javaâ„�?technology",,,",edition,sdk,ibmâ®,javaâ„�?technology",,,",edition,sdk,ibmâ®,javaâ„�?technology",,,",mage,ci",,,,,,
wordpress,",content,management,wordpress,rich,utilize,plugins,widgets,themes",,,",content,management,wordpress,rich,utilize,plugins,widgets,themes",,,",content,management,wordpress,rich,utilize,plugins,widgets,themes",,,",wordpress,rich,utilize,plugins,widgets,themes",,,",management,manage",,,,,,
memcached,",free,open,source,distributed,highperformance,memory,object,caching",,,",free,distributed,highperformance,memory,object,caching",,,",distributed,highperformance,memory,object,caching",,,",memory,object,caching",,,",open,source",,,,,,
amazoncorretto,",open,development,openjdk,distribution,java,corretto,nocost,productionready,kit",,,",development,openjdk,distribution,java,corretto,nocost,productionready,kit",,,",development,openjdk,distribution,java,corretto,nocost,productionready,kit",,,",corretto,nocost,productionready,kit",,,\N,,,,,,
telegraf,",influxdb,metrics,agent,telegraf,collecting,writing,outputs",,,",influxdb,metrics,agent,telegraf,collecting,writing,outputs",,,",influxdb,metrics,agent,telegraf,collecting,writing,outputs",,,",influxdb,metrics,agent,telegraf,collecting,writing,outputs",,,\N,,,,,,
bash,",gnu,bash,projects,bourne,shell",,,",gnu,bash,projects,bourne,shell",,,",gnu,bash,projects,bourne,shell",,,",gnu,bash,projects,bourne,shell",,,",ai",,,,,,
photon,",host,open,source,linux,minimal,photon,os",,,",host,open,source,linux,minimal,photon,os",,,",linux,minimal,photon,os",,,",minimal,photon,os",,,",open,source",,,,,,
