name,tags_raw,tf_idf_tags_033,hierarchical_cluster_tags,wordnet_extend_tags_001,wordnet_extend_tags_002,wordnet_extend_tags_003,wordnet_extend_tags_004,wordnet_extend_tags_005,wordnet_extend_tags_006,wordnet_extend_tags_007,wordnet_extend_tags_008,wordnet_extend_tags_009,wordnet_extend_tags_010,wordnet_extend_tags_011,wordnet_extend_tags_012,wordnet_extend_tags_013,wordnet_extend_tags_014,wordnet_extend_tags_015,wordnet_extend_tags_016
K8s Aad Pod Identity Nmi,kubernetes applications assign aad identities  managed node identitynmi  application app applications,kubernetes applications assign aad identities  managed node identitynmi , application app applications, client node delegate assign application_program designate wangle guest applications_programme identity depute application finagle manage, identity guest delegate applications_programme client wangle designate depute finagle manage application_program application node assign, manage application wangle designate delegate guest depute client node application_program assign finagle applications_programme, designate guest assign manage finagle depute application_program node wangle client delegate applications_programme application, designate guest assign manage finagle depute application_program node wangle client delegate applications_programme application, guest application_program node client applications_programme application, guest application_program node client applications_programme application, guest application_program node client applications_programme application, client application_program application node applications_programme guest, client application_program application node applications_programme guest, client application_program application node applications_programme guest, client guest node, client guest node, client guest node, client guest node, client guest node
Presidio Analyzer,presidio analyzer ,presidio analyzer ,, analyser analyzer presidio, analyser analyzer, analyzer analyser, analyzer analyser, analyzer analyser,,,,,,,,,,,
helloworld,hello world! example minimal dockerization ,hello world! example minimal dockerization ,,,,,,,,,,,,,,,,,
OSA CLI,azure  preview openshift cli  ,azure  preview openshift cli , , preview azure CLI skyblue bright_blue command_line_interface cerulean, command_line_interface preview CLI, command_line_interface CLI preview, preview command_line_interface CLI, command_line_interface CLI,,,,,,,,,,,
TestArchitect,language written automation testarchitect components execute webservices tests abt   written component execute,language written automation testarchitect components execute webservices tests abt ,  written component execute, nomenclature component language element mechanisation factor automation ingredient test constituent run mechanization execute quiz terminology, terminology factor mechanisation run language automation execute constituent quiz mechanization element test ingredient nomenclature component, ingredient nomenclature mechanisation constituent element component factor run terminology automation test execute quiz mechanization language, nomenclature execute run mechanization language automation element terminology quiz ingredient component constituent test factor mechanisation, nomenclature execute run mechanization language automation element terminology quiz ingredient component constituent test factor mechanisation, nomenclature execute run mechanization language automation terminology quiz test mechanisation, execute run mechanization automation mechanisation, execute run mechanization automation mechanisation, run mechanization automation mechanisation execute, run mechanization automation mechanisation execute, run execute, run execute, run execute,,,
Software AG Apama Cumulocity JRE,apama  mage ci,apama , mage ci,,,,,,,,,,,,,,,,
piwik,opensource powerful analytics platform leading piwik  open source ,opensource powerful analytics platform leading piwik , open source , powerful leading muscular brawny opensource platform leadership hefty sinewy, opensource leading sinewy leadership hefty muscular powerful brawny platform, muscular platform opensource hefty leading sinewy powerful leadership brawny, muscular hefty leadership sinewy powerful brawny platform leading opensource, opensource platform, opensource platform, opensource platform, opensource platform, platform opensource, platform opensource, platform opensource, platform opensource, platform opensource, opensource, opensource,
xwiki,enterprise open source advanced wiki xwiki:  pr,enterprise open source advanced wiki xwiki: , pr, enterprise PR public_relations, PR public_relations enterprise, PR public_relations enterprise,,,,,,,,,,,,,
Mcr Hello World Nireissssssss,testing mcr customer  customer custom,testing mcr customer , customer custom, client customer custommade test quiz custom, customer client quiz custom custommade test, custommade customer custom quiz test client, test quiz, test quiz, test quiz,,,,,,,,,,
tomee,apache tomcat java ee tomee allapache certified stack dog  ,apache tomcat java ee tomee allapache certified stack dog , , tom licence dogiron certify coffee electrical_engineering andiron license java EE heap Apache pile stack dog firedog tomcat, licence tomcat dogiron electrical_engineering pile license andiron EE certify stack tom heap Apache dog coffee firedog java, tom pile heap dog licence stack license EE andiron dogiron electrical_engineering firedog certify tomcat Apache, tom EE stack license tomcat electrical_engineering licence heap andiron dog certify pile firedog dogiron Apache, tom EE license tomcat electrical_engineering licence andiron dog certify firedog dogiron Apache, EE andiron electrical_engineering dog firedog dogiron Apache, EE andiron electrical_engineering dog firedog dogiron Apache, EE andiron electrical_engineering dog firedog dogiron Apache, dogiron firedog andiron dog,,,,,,,
